level_0,transaction_date,ticker,asset_description,type,amount,representative,timestamp,state,party_x,total_senate_years,total_house_years,total_years,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,start,day_30,day_30_stock_perc_diff,day_60,day_60_stock_perc_diff,day_90,day_90_stock_perc_diff,day_180,day_180_stock_perc_diff,sp_start,sp_30,sp_30_sp_perc_diff,sp_60,sp_60_sp_perc_diff,sp_90,sp_90_sp_perc_diff,sp_180,sp_180_sp_perc_diff
902,2020-03-18,BSX,Boston Scientific Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,27.239999771118164,38.290000915527344,0.406,36.41999816894531,0.337,36.59000015258789,0.343,40.290000915527344,0.479,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
903,2020-03-18,BHF,"Brighthouse Financial, Inc.",sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,16.700000762939453,22.60000038146973,0.353,29.649999618530273,0.775,31.309999465942386,0.875,29.51000022888184,0.767,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
904,2020-03-18,BMY,Bristol-Myers Squibb Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,50.2400016784668,60.599998474121094,0.206,63.599998474121094,0.266,56.40999984741211,0.123,58.9900016784668,0.174,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
905,2020-03-05,BR,"Broadridge Financial Solutions, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1583384400,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,101.38999938964844,92.38999938964844,-0.089,115.3499984741211,0.138,127.48999786376952,0.257,137.39999389648438,0.355,3023.93994140625,2488.64990234375,-0.177,2868.43994140625,-0.051,3232.389892578125,0.069,3500.31005859375,0.158
906,2020-03-26,CACI,"CACI International, Inc. Class A",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585195200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,217.1499938964844,252.8800048828125,0.165,251.6999969482422,0.159,219.08999633789062,0.009,215.44000244140625,-0.008,2630.070068359375,2878.47998046875,0.094,3036.1298828125,0.154,3053.239990234375,0.161,3281.06005859375,0.248
907,2020-03-23,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584936000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,15.960000038146973,21.8799991607666,0.371,21.020000457763672,0.317,22.96999931335449,0.439,29.270000457763672,0.834,2237.39990234375,2799.31005859375,0.251,2948.510009765625,0.318,3050.330078125,0.363,3319.469970703125,0.484
908,2020-03-24,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1585022400,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,18.729999542236328,21.81999969482422,0.165,20.600000381469727,0.1,23.040000915527344,0.23,29.270000457763672,0.563,2447.330078125,2797.800048828125,0.143,2955.449951171875,0.208,3083.760009765625,0.26,3319.469970703125,0.356
909,2020-03-25,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1585108800,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,19.59000015258789,21.75,0.11,20.770000457763672,0.06,22.299999237060547,0.138,29.270000457763672,0.494,2475.56005859375,2836.739990234375,0.146,2991.77001953125,0.209,3009.050048828125,0.216,3319.469970703125,0.341
910,2020-03-18,COF,Capital one Financial Corporation,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,44.29999923706055,54.63000106811523,0.233,63.4000015258789,0.431,68.06999969482422,0.537,71.05000305175781,0.604,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
911,2020-03-18,CPRI,Capri Holdings Limited Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,7.519999980926514,12.93000030517578,0.719,14.380000114440918,0.912,15.75,1.094,20.38999938964844,1.711,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
912,2020-03-18,CAH,"Cardinal Health, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,45.70000076293945,51.22999954223633,0.121,52.209999084472656,0.142,53.81000137329102,0.177,48.38000106811523,0.059,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
913,2020-04-02,KMX,CarMax Inc,purchase,"$1,001 - $15,000",Gilbert Cisneros,1585800000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,50.20000076293945,71.68000030517578,0.428,94.8000030517578,0.888,88.58999633789062,0.765,95.0500030517578,0.893,2526.89990234375,2842.739990234375,0.125,3122.8701171875,0.236,3145.320068359375,0.245,3351.60009765625,0.326
914,2020-03-18,CAT,"Caterpillar, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,100.12000274658205,116.3000030517578,0.162,115.0199966430664,0.149,127.45999908447266,0.273,153.8300018310547,0.536,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
915,2020-03-18,CNP,"CenterPoint Energy, Inc",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,12.470000267028807,16.530000686645508,0.326,17.489999771118164,0.403,17.790000915527344,0.427,19.450000762939453,0.56,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
917,2020-03-18,CF,"CF Industries Holdings, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,21.13999938964844,28.290000915527344,0.338,26.38999938964844,0.248,29.88999938964844,0.414,33.36999893188477,0.579,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
918,2020-03-18,CB,Chubb Limited,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,99.80999755859376,118.79000091552734,0.19,105.33999633789062,0.055,127.9499969482422,0.282,120.66999816894531,0.209,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
919,2020-03-18,CI,Cigna Corporation,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,142.91000366210938,194.1300048828125,0.358,193.50999450683597,0.354,191.3999938964844,0.339,169.36000061035156,0.185,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
920,2020-03-18,C,"Citigroup, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,36.43000030517578,45.45000076293945,0.248,45.66999816894531,0.254,52.91999816894531,0.453,51.0,0.4,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
921,2020-03-18,CFG,"Citizens Financial Group, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,15.31999969482422,19.8700008392334,0.297,21.57999992370605,0.409,25.35000038146973,0.655,27.11000061035156,0.77,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
922,2020-03-18,CTSH,Cognizant Technology Solutions Corporation - Class A,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,47.47000122070313,53.81000137329102,0.134,53.13999938964844,0.119,54.15999984741211,0.141,68.18000030517578,0.436,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
923,2020-03-18,CL,Colgate-Palmolive Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,67.69000244140625,73.41999816894531,0.085,70.22000122070311,0.037,73.36000061035156,0.084,76.75,0.134,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
924,2020-03-18,CMCSA,Comcast Corporation - Class A,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,35.68000030517578,38.08000183105469,0.067,38.09000015258789,0.068,39.099998474121094,0.096,44.66999816894531,0.252,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
926,2020-03-18,CTVA,"Corteva, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,21.56999969482422,25.51000022888184,0.183,24.01000022888184,0.113,27.1299991607666,0.258,29.020000457763672,0.345,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
927,2020-03-27,CSGP,"COSTAR Group, Inc.",purchase,"$15,001 - $50,000",Gilbert Cisneros,1585281600,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,580.989990234375,607.8400268554688,0.046,647.0900268554688,0.114,710.6699829101562,0.223,837.5,0.442,2541.469970703125,2863.389892578125,0.127,3029.72998046875,0.192,3100.2900390625,0.22,3315.570068359375,0.305
929,2020-03-18,DAL,"Delta air Lines, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,23.489999771118164,24.270000457763672,0.033,21.86000061035156,-0.069,29.51000022888184,0.256,31.70000076293945,0.35,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
931,2020-03-18,DFS,Discover Financial Services,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,27.0,35.040000915527344,0.298,41.060001373291016,0.521,53.72999954223633,0.99,54.7400016784668,1.027,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
932,2020-03-18,DD,"DUPONT de Nemours, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,32.060001373291016,38.36000061035156,0.197,48.099998474121094,0.5,52.599998474121094,0.641,58.56999969482422,0.827,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
933,2020-03-18,DXC,DXC Technology Company,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,9.3100004196167,15.329999923706055,0.647,16.729999542236328,0.797,15.43000030517578,0.657,19.549999237060547,1.1,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
935,2020-03-16,EXAS,Exact Sciences Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584331200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,42.40999984741211,66.81999969482422,0.576,85.43000030517578,1.014,87.19999694824219,1.056,76.19999694824219,0.797,2386.1298828125,2783.360107421875,0.166,2852.5,0.195,3113.489990234375,0.305,3340.969970703125,0.4
936,2020-03-18,EXC,Exelon Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,33.040000915527344,38.43999862670898,0.163,37.540000915527344,0.136,37.52999877929688,0.136,35.83000183105469,0.084,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
937,2020-03-31,EXLS,"ExlService Holdings, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,52.02999877929688,61.72999954223633,0.186,61.81000137329102,0.188,62.4900016784668,0.201,63.27999877929688,0.216,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
938,2020-03-18,FIS,"Fidelity National Information Services, Inc.",sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,102.94000244140624,127.95999908447266,0.243,136.33999633789062,0.324,135.0,0.311,144.22999572753906,0.401,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
939,2020-03-18,FITB,Fifth Third Bancorp,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,11.670000076293945,16.629999160766598,0.425,17.8700008392334,0.531,20.790000915527344,0.781,21.049999237060547,0.804,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
940,2020-03-18,FISV,"Fiserv, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,80.94999694824219,100.62999725341795,0.243,105.0500030517578,0.298,100.0500030517578,0.236,93.05999755859376,0.15,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
941,2020-03-18,FLT,"FleetCor Technologies, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,200.50999450683597,223.58999633789062,0.115,237.7700042724609,0.186,264.32000732421875,0.318,231.0,0.152,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
942,2020-03-18,FLEX,Flex Ltd. - Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,5.880000114440918,8.159999847412111,0.388,10.229999542236328,0.74,10.56999969482422,0.798,10.199999809265137,0.735,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
943,2020-03-18,F,Ford Motor Company,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,4.5,5.119999885559082,0.138,5.309999942779541,0.18,6.230000019073486,0.384,7.0,0.556,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
944,2020-03-18,BEN,"Franklin Resources, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,19.799999237060547,16.34000015258789,-0.175,18.34000015258789,-0.074,21.950000762939453,0.109,20.229999542236328,0.022,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
945,2020-03-18,FCX,"Freeport-MCMORAN, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,5.309999942779541,8.340000152587889,0.571,9.18000030517578,0.729,10.5,0.977,16.270000457763672,2.064,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
946,2020-03-18,IT,"Gartner, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,83.37999725341797,105.95999908447266,0.271,118.8000030517578,0.425,120.02999877929688,0.44,126.63999938964844,0.519,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
947,2020-03-18,GD,General Dynamics Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,121.11000061035156,138.19000244140622,0.141,139.47999572753906,0.152,157.6199951171875,0.301,145.36000061035156,0.2,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
948,2020-03-18,GE,General Electric Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,6.5999999046325675,6.8400001525878915,0.036,6.269999980926514,-0.05,7.1500000953674325,0.083,5.949999809265138,-0.098,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
949,2020-03-18,GM,General Motors Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,16.799999237060547,22.479999542236328,0.338,24.809999465942386,0.477,26.59000015258789,0.583,30.459999084472656,0.813,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
951,2020-03-18,GPN,Global Payments Inc.,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,134.55999755859378,154.8800048828125,0.151,180.10000610351562,0.338,176.0800018310547,0.309,166.27000427246094,0.236,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
952,2020-03-10,GLOB,Globant S.A. Common Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1583812800,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,106.13999938964844,97.56999969482422,-0.081,124.25,0.171,132.22999572753906,0.246,170.0,0.602,2882.22998046875,2749.97998046875,-0.046,2929.800048828125,0.017,3002.10009765625,0.042,3426.9599609375,0.189
953,2020-03-31,GLOB,Globant S.A. Common Shares,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,87.87999725341797,115.66999816894531,0.316,146.69000244140625,0.669,154.0399932861328,0.753,174.32000732421875,0.984,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
954,2020-03-31,GMED,"Globus Medical, Inc. Class A",sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,42.52999877929688,47.459999084472656,0.116,54.6500015258789,0.285,49.15999984741211,0.156,49.209999084472656,0.157,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
955,2020-03-18,GS,"Goldman Sachs Group, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,140.02000427246094,183.4900054931641,0.31,181.8800048828125,0.299,201.6300048828125,0.44,200.9199981689453,0.435,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
956,2020-03-18,HRB,"H&R Block, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,14.739999771118164,14.359999656677244,-0.026,16.729999542236328,0.135,15.729999542236328,0.067,14.989999771118164,0.017,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
957,2020-03-18,HOG,"Harley-Davidson, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,20.15999984741211,19.350000381469727,-0.04,22.520000457763672,0.117,24.81999969482422,0.231,27.76000022888184,0.377,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
958,2020-03-18,HIG,"Hartford Financial Services Group, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,26.25,40.0099983215332,0.524,35.25,0.343,39.97999954223633,0.523,38.63999938964844,0.472,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
959,2020-03-31,HQY,"HealthEquity, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,50.59000015258789,56.27000045776367,0.112,62.16999816894531,0.229,58.66999816894531,0.16,47.56999969482422,-0.06,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
960,2020-03-18,PEAK,"Healthpeak Properties, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,20.850000381469727,26.26000022888184,0.259,24.059999465942386,0.154,26.31999969482422,0.262,27.88999938964844,0.338,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
961,2020-03-31,HTLD,"Heartland Express, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,18.56999969482422,19.59000015258789,0.055,21.56999969482422,0.162,20.75,0.117,18.65999984741211,0.005,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
962,2020-03-10,HELE,Helen of Troy Limited,purchase,"$1,001 - $15,000",Gilbert Cisneros,1583812800,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,146.5,140.00999450683594,-0.044,167.8699951171875,0.146,173.1699981689453,0.182,198.97000122070312,0.358,2882.22998046875,2749.97998046875,-0.046,2929.800048828125,0.017,3002.10009765625,0.042,3426.9599609375,0.189
963,2020-03-18,HPE,Hewlett Packard Enterprise Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,8.529999732971191,9.710000038146973,0.138,9.989999771118164,0.171,9.81999969482422,0.151,9.239999771118164,0.083,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
964,2020-03-10,HMN,Horace Mann Educators Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros,1583812800,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,40.81999969482422,32.299999237060554,-0.209,35.400001525878906,-0.133,35.790000915527344,-0.123,38.61999893188477,-0.054,2882.22998046875,2749.97998046875,-0.046,2929.800048828125,0.017,3002.10009765625,0.042,3426.9599609375,0.189
965,2020-03-18,HST,"Host Hotels & Resorts, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,9.3100004196167,11.369999885559082,0.221,11.779999732971193,0.265,11.670000076293945,0.253,11.130000114440918,0.195,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
966,2020-03-18,HUM,Humana Inc.,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,246.5800018310547,373.5899963378906,0.515,392.3699951171875,0.591,380.760009765625,0.544,391.3599853515625,0.587,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
967,2020-03-18,HBAN,Huntington Bancshares Incorporated,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,7.71999979019165,8.060000419616701,0.044,8.260000228881836,0.07,10.289999961853027,0.333,9.68000030517578,0.254,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
968,2020-03-31,ICFI,"ICF International, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,68.69999694824219,73.54000091552734,0.07,64.62000274658203,-0.059,65.08000183105469,-0.053,62.70000076293945,-0.087,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
969,2020-03-31,ICUI,"ICU Medical, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,201.7700042724609,219.30999755859372,0.087,202.32000732421875,0.003,186.72000122070312,-0.075,186.47000122070312,-0.076,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
970,2020-03-31,IDA,"IdaCoRP, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros,1585627200,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,87.79000091552734,91.77999877929688,0.045,93.56999969482422,0.066,89.58000183105469,0.02,80.55000305175781,-0.082,2584.590087890625,2912.429931640625,0.127,3055.72998046875,0.182,3130.010009765625,0.211,3298.4599609375,0.276
971,2020-03-18,IR,Ingersoll Rand Inc.,purchase,"$1,001 - $15,000",Gilbert Cisneros,1584504000,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,19.21999931335449,26.809999465942386,0.395,28.70000076293945,0.493,28.809999465942386,0.499,35.97999954223633,0.872,2398.10009765625,2874.56005859375,0.199,2953.909912109375,0.232,3097.739990234375,0.292,3340.969970703125,0.393
972,2020-03-05,INTU,Intuit Inc.,sale_partial,"$15,001 - $50,000",Gilbert Cisneros,1583384400,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,287.17999267578125,218.38999938964844,-0.24,274.48001098632807,-0.044,293.04998779296875,0.02,345.3900146484375,0.203,3023.93994140625,2488.64990234375,-0.177,2868.43994140625,-0.051,3232.389892578125,0.069,3500.31005859375,0.158
973,2020-03-06,INTU,Intuit Inc.,sale_partial,"$1,001 - $15,000",Gilbert Cisneros,1583470800,California,Democratic,0,2,2,$4370133,$361343,8.27%,Raised over $100k,276.17999267578125,240.1199951171875,-0.131,275.8699951171875,-0.001,291.25,0.055,347.17999267578125,0.257,2972.3701171875,2663.679931640625,-0.104,2848.419921875,-0.042,3207.179931640625,0.079,3526.64990234375,0.186
